1927,-0.14508333333333334
1928,-0.1735833333333333
1929,-0.17658333333333331
1930,-0.1825
1931,-0.13524999999999998
1932,-0.13391666666666666
1933,-0.11291666666666664
1934,-0.15666666666666665
1940,-0.11325000000000002
1941,-0.10941666666666668
1943,-0.11124999999999999
1944,-0.11041666666666665
1945,-0.06575
1946,-0.09375000000000001
1947,-0.08600000000000001
1948,-0.09
1949,-0.11974999999999998
1950,-0.12583333333333332
1951,-0.07291666666666666
1952,-0.07708333333333334
1953,-0.07583333333333334
1954,-0.06475
1955,-0.07116666666666667
1956,-0.07283333333333335
1957,-0.10783333333333334
1958,-0.04441666666666667
1959,-0.10266666666666666
1960,-0.0375
1961,-0.06533333333333333
1962,-0.07508333333333334
1963,-0.09716666666666665
1964,-0.10241666666666667
1965,-0.09608333333333335
1966,-0.06725
1967,-0.07408333333333333
1968,-0.064
1969,-0.0315
1970,-0.027666666666666666
1971,-0.04466666666666667
1972,-0.031083333333333338
1973,-0.020166666666666666
1974,-0.06216666666666667
1975,-0.046000000000000006
1976,-0.07083333333333333
1977,-0.041
1978,-0.08366666666666667
1979,-0.07075000000000001
1980,-0.09325000000000001
1981,-0.06991666666666667
1982,-0.09683333333333333
1983,-0.007833333333333331
1984,-0.077
1985,-0.06641666666666668
1986,-0.05383333333333333
